interval,flow_id,source_terminal,destination_terminal,offered_gbit
738,4001,1,3,2.911987827
739,4001,1,3,2.911987827
740,4001,1,3,2.920577761
741,4001,1,3,2.920577761
742,4001,1,3,2.920577761
743,4001,1,3,2.920577761
744,4001,1,3,2.920577761
745,4001,1,3,2.920577761
746,4001,1,3,2.920577761
747,4001,1,3,2.920577761
748,4001,1,3,2.920577761
749,4001,1,3,2.920577761
750,4001,1,3,2.937757630
751,4001,1,3,2.937757630
752,4001,1,3,2.937757630
753,4001,1,3,2.937757630
754,4001,1,3,2.937757630
755,4001,1,3,2.937757630
756,4001,1,3,2.937757630
757,4001,1,3,2.937757630
758,4001,1,3,2.937757630
759,4001,1,3,2.937757630
760,4001,1,3,2.920577761
761,4001,1,3,2.920577761
762,4001,1,3,2.920577761
763,4001,1,3,2.920577761
764,4001,1,3,2.920577761
765,4001,1,3,2.920577761
766,4001,1,3,2.920577761
767,4001,1,3,2.920577761
768,4001,1,3,2.920577761
769,4001,1,3,2.920577761
770,4001,1,3,2.911987827
771,4001,1,3,2.911987827
772,4001,1,3,2.911987827
773,4001,1,3,2.911987827
774,4001,1,3,2.911987827
775,4001,1,3,2.911987827
776,4001,1,3,2.911987827
777,4001,1,3,2.911987827
778,4001,1,3,2.911987827
779,4001,1,3,2.911987827
780,4001,1,3,2.886218023
781,4001,1,3,2.886218023
782,4001,1,3,2.886218023
783,4001,1,3,2.886218023
784,4001,1,3,2.886218023
785,4001,1,3,2.886218023
786,4001,1,3,2.886218023
787,4001,1,3,2.886218023
788,4001,1,3,2.886218023
789,4001,1,3,2.886218023
790,4001,1,3,2.877628088
791,4001,1,3,2.877628088
792,4001,1,3,2.877628088
793,4001,1,3,2.877628088
794,4001,1,3,2.877628088
795,4001,1,3,2.877628088
796,4001,1,3,2.877628088
797,4001,1,3,2.877628088
798,4001,1,3,2.877628088
799,4001,1,3,2.877628088
800,4001,1,3,2.894807958
801,4001,1,3,2.894807958
802,4001,1,3,2.894807958
803,4001,1,3,2.894807958
804,4001,1,3,2.894807958
805,4001,1,3,2.894807958
806,4001,1,3,2.894807958
807,4001,1,3,2.894807958
808,4001,1,3,2.894807958
809,4001,1,3,2.894807958
810,4001,1,3,2.980707303
811,4001,1,3,2.980707303
812,4001,1,3,2.980707303
813,4001,1,3,2.980707303
814,4001,1,3,2.980707303
815,4001,1,3,2.980707303
816,4001,1,3,2.980707303
817,4001,1,3,2.980707303
818,4001,1,3,2.980707303
819,4001,1,3,2.980707303
820,4001,1,3,2.989297238
821,4001,1,3,2.989297238
822,4001,1,3,2.989297238
823,4001,1,3,2.989297238
824,4001,1,3,2.989297238
825,4001,1,3,2.989297238
826,4001,1,3,2.989297238
827,4001,1,3,2.989297238
828,4001,1,3,2.989297238
829,4001,1,3,2.989297238
830,4001,1,3,3.006477107
831,4001,1,3,3.006477107
832,4001,1,3,3.006477107
833,4001,1,3,3.006477107
834,4001,1,3,3.006477107
835,4001,1,3,3.006477107
836,4001,1,3,3.006477107
837,4001,1,3,3.006477107
838,4001,1,3,3.006477107
839,4001,1,3,3.006477107
840,4001,1,3,2.980707303
841,4001,1,3,2.980707303
842,4001,1,3,2.980707303
843,4001,1,3,2.980707303
844,4001,1,3,2.980707303
845,4001,1,3,2.980707303
846,4001,1,3,2.980707303
847,4001,1,3,2.980707303
848,4001,1,3,2.980707303
849,4001,1,3,2.980707303
850,4001,1,3,2.980707303
851,4001,1,3,2.980707303
852,4001,1,3,2.980707303
853,4001,1,3,2.980707303
854,4001,1,3,2.980707303
855,4001,1,3,2.980707303
856,4001,1,3,2.980707303
857,4001,1,3,2.980707303
858,4001,1,3,2.980707303
859,4001,1,3,2.980707303
860,4001,1,3,2.972117369
861,4001,1,3,2.972117369
862,4001,1,3,2.972117369
863,4001,1,3,2.972117369
864,4001,1,3,2.972117369
865,4001,1,3,2.972117369
866,4001,1,3,2.972117369
867,4001,1,3,2.972117369
868,4001,1,3,2.972117369
869,4001,1,3,2.972117369
870,4001,1,3,2.972117369
