interval,event,switch,switch_name,port,target_type,target_index,flow_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
5,allocate_send_arrival,55,S60,1,switch,37,50941,110,0,0,5,243.133,0,34.4367,0,0
5,allocate_send_arrival,1,S01,0,switch,0,50943,23,0,0,5,159.728,0,19.9093,49.7967,0
5,enqueue_residual,1,S01,0,switch,0,50943,23,0,0,5,159.728,0,0,49.7967,0
5,allocate_send_arrival,1,S01,0,switch,0,50944,19,0,0,5,159.728,0,19.9093,33.4771,0
5,enqueue_residual,1,S01,0,switch,0,50944,19,0,0,5,159.728,0,0,33.4771,0
5,allocate_send_arrival,1,S01,0,switch,0,50947,12,0,0,5,159.728,0,19.9093,33.4204,0
5,enqueue_residual,1,S01,0,switch,0,50947,12,0,0,5,159.728,0,0,16.7262,0
5,drop_shared_buffer_overflow,1,S01,0,switch,0,50947,12,0,0,5,159.728,0,0,0,16.6942
5,allocate_send_arrival,6,S02,0,switch,1,50947,12,0,0,5,138.732,0,46.4693,6.77337,0
5,enqueue_residual,6,S02,0,switch,1,50947,12,0,0,5,138.732,0,0,6.77337,0
5,allocate_send_arrival,35,S17,2,switch,37,50945,70,0,0,5,246.878,0,34.4367,0,0
5,allocate_send_arrival,26,S33,0,switch,3,50946,44,0,0,5,174.708,51.5854,59.7201,0,0
5,allocate_send_arrival,26,S33,0,switch,3,50940,66,0,0,5,174.708,51.5854,59.7201,0,0
5,allocate_send_arrival,22,S07,3,switch,26,50946,44,0,0,5,124.406,0,59.5645,0,0
5,allocate_send_arrival,54,S31,1,switch,37,50942,105,0,0,5,242.335,0,35.1664,0,0
5,allocate_send_arrival,52,S30,2,switch,54,50942,105,0,0,5,164.752,0,34.4367,0,0
5,allocate_send_arrival,11,S03,0,switch,6,50943,23,0,0,5,132.338,53.333,53.2427,0,0
5,allocate_send_arrival,3,S27,0,switch,0,50940,66,0,0,5,119.129,0,9.5645,77.7895,0
5,enqueue_residual,3,S27,0,switch,0,50940,66,0,0,5,119.129,0,0,77.7895,0
5,allocate_send_arrival,3,S27,0,switch,0,50946,44,0,0,5,119.129,0,9.5645,77.7895,0
5,enqueue_residual,3,S27,0,switch,0,50946,44,0,0,5,119.129,0,0,22.2105,0
5,drop_shared_buffer_overflow,3,S27,0,switch,0,50946,44,0,0,5,119.129,0,0,0,55.579
5,allocate_send_arrival,9,S59,0,switch,1,50944,19,0,0,5,295.318,0,53.2427,0,0
5,allocate_send_arrival,33,S34,0,switch,26,50940,66,0,0,5,235.741,0,59.5645,0,0
5,allocate_send_arrival,0,S00,5,terminal,0,50943,23,0,0,5,1000,0,49.4567,0,0
5,allocate_send_arrival,0,S00,5,terminal,0,50947,12,0,0,5,1000,0,49.4567,0,0
5,allocate_send_arrival,0,S00,5,terminal,0,50946,44,0,0,5,1000,0,59.5645,0,0
5,allocate_send_arrival,0,S00,5,terminal,0,50945,70,0,0,5,1000,0,98.8967,1.45519e-14,0
5,allocate_send_arrival,0,S00,5,terminal,0,50944,19,0,0,5,1000,0,60.8147,0,0
5,allocate_send_arrival,0,S00,5,terminal,0,50940,66,0,0,5,1000,0,59.5645,0,0
5,allocate_send_arrival,0,S00,5,terminal,0,50941,110,0,0,5,1000,0,3.31,0,0
5,allocate_send_arrival,0,S00,5,terminal,0,50942,105,0,0,5,1000,0,1.10333,0,0
6,allocate_send_buffered,11,S03,0,switch,6,50943,23,0,0,6,132.338,53.333,53.333,0,0
6,allocate_send_buffered,3,S27,0,switch,0,50940,66,0,0,6,119.129,100,77.7895,0,0
6,allocate_send_buffered,3,S27,0,switch,0,50946,44,0,0,6,119.129,100,22.2105,0,0
6,allocate_send_buffered,37,S32,0,switch,0,50941,110,0,0,6,103.31,100,33.4263,0,0
6,allocate_send_buffered,37,S32,0,switch,0,50945,70,0,0,6,103.31,100,33.4263,0,0
6,allocate_send_buffered,37,S32,0,switch,0,50942,105,0,0,6,103.31,100,33.1474,0,0
6,allocate_send_buffered,1,S01,0,switch,0,50943,23,0,0,6,159.728,100,49.7967,0,0
6,allocate_send_buffered,1,S01,0,switch,0,50944,19,0,0,6,159.728,100,33.4771,0,0
6,allocate_send_buffered,1,S01,0,switch,0,50947,12,0,0,6,159.728,100,16.7262,0,0
6,stage_arrival,35,S17,2,switch,37,50945,70,0,0,6,246.878,0,0,34.4367,0
6,stage_arrival,0,S00,5,terminal,0,50940,66,0,0,6,1000,0,0,55.579,0
6,stage_arrival,55,S60,1,switch,37,50941,110,0,0,6,243.133,0,0,34.4367,0
6,stage_arrival,37,S32,0,switch,0,50945,70,0,0,6,103.31,0,0,34.4367,0
6,stage_arrival,6,S02,0,switch,1,50947,12,0,0,6,138.732,6.77337,0,53.2427,0
6,stage_arrival,0,S00,5,terminal,0,50944,19,0,0,6,1000,0,0,50.5433,0
6,stage_arrival,9,S59,0,switch,1,50944,19,0,0,6,295.318,0,0,53.2427,0
6,stage_arrival,0,S00,5,terminal,0,50942,105,0,0,6,1000,0,0,1.10333,0
6,stage_arrival,0,S00,5,terminal,0,50941,110,0,0,6,1000,0,0,48.3941,0
6,stage_arrival,26,S33,0,switch,3,50946,44,0,0,6,174.708,51.5854,0,59.5645,0
6,stage_arrival,11,S03,0,switch,6,50943,23,0,0,6,132.338,0,0,53.2427,0
6,stage_arrival,37,S32,0,switch,0,50941,110,0,0,6,103.31,0,0,34.4367,0
6,stage_arrival,3,S27,0,switch,0,50940,66,0,0,6,119.129,0,0,59.7201,0
6,stage_arrival,6,S02,0,switch,1,50943,23,0,0,6,138.732,6.77337,0,53.2427,0
6,stage_arrival,1,S01,0,switch,0,50947,12,0,0,6,159.728,0,0,30.9947,0
6,stage_arrival,0,S00,5,terminal,0,50946,44,0,0,6,1000,0,0,44.421,0
6,stage_arrival,26,S33,0,switch,3,50940,66,0,0,6,174.708,51.5854,0,59.5645,0
6,stage_arrival,0,S00,5,terminal,0,50945,70,0,0,6,1000,0,0,1.10333,0
6,stage_arrival,52,S30,2,switch,54,50942,105,0,0,6,164.752,0,0,34.4367,0
6,stage_arrival,0,S00,5,terminal,0,50947,12,0,0,6,1000,0,0,19.9093,0
6,stage_arrival_coalesce,0,S00,5,terminal,0,50944,19,0,0,6,1000,0,0,70.4527,0
6,stage_arrival,0,S00,5,terminal,0,50943,23,0,0,6,1000,0,0,49.4567,0
6,stage_arrival_coalesce,0,S00,5,terminal,0,50943,23,0,0,6,1000,0,0,69.366,0
6,stage_arrival,1,S01,0,switch,0,50943,23,0,0,6,159.728,0,0,61.268,0
6,stage_arrival,3,S27,0,switch,0,50946,44,0,0,6,119.129,0,0,59.7201,0
6,stage_arrival,1,S01,0,switch,0,50944,19,0,0,6,159.728,0,0,53.2427,0
6,stage_arrival_coalesce,0,S00,5,terminal,0,50946,44,0,0,6,1000,0,0,53.9855,0
6,stage_arrival_coalesce,0,S00,5,terminal,0,50940,66,0,0,6,1000,0,0,65.1435,0
6,stage_arrival_coalesce,1,S01,0,switch,0,50947,12,0,0,6,159.728,0,0,77.464,0
6,stage_arrival_coalesce,0,S00,5,terminal,0,50941,110,0,0,6,1000,0,0,49.4975,0
6,stage_arrival_coalesce,0,S00,5,terminal,0,50945,70,0,0,6,1000,0,0,52.7092,0
6,stage_arrival,22,S07,3,switch,26,50946,44,0,0,6,124.406,0,0,59.5645,0
6,stage_arrival,37,S32,0,switch,0,50942,105,0,0,6,103.31,0,0,35.1664,0
6,stage_arrival,54,S31,1,switch,37,50942,105,0,0,6,242.335,0,0,34.4367,0
6,stage_arrival,33,S34,0,switch,26,50940,66,0,0,6,235.741,0,0,59.5645,0
6,allocate_send_arrival,9,S59,0,switch,1,50944,19,0,0,6,295.318,0,53.2427,0,0
6,allocate_send_arrival,26,S33,0,switch,3,50946,44,0,0,6,174.708,51.5854,59.5645,0,0
6,allocate_send_arrival,26,S33,0,switch,3,50940,66,0,0,6,174.708,51.5854,59.5645,0,0
6,allocate_send_arrival,37,S32,0,switch,0,50945,70,0,0,6,103.31,0,1.10333,33.3333,0
6,enqueue_residual,37,S32,0,switch,0,50945,70,0,0,6,103.31,0,0,33.3333,0
6,allocate_send_arrival,37,S32,0,switch,0,50941,110,0,0,6,103.31,0,1.10333,33.3333,0
6,enqueue_residual,37,S32,0,switch,0,50941,110,0,0,6,103.31,0,0,33.3333,0
6,allocate_send_arrival,37,S32,0,switch,0,50942,105,0,0,6,103.31,0,1.10333,34.0631,0
6,enqueue_residual,37,S32,0,switch,0,50942,105,0,0,6,103.31,0,0,33.3333,0
6,drop_shared_buffer_overflow,37,S32,0,switch,0,50942,105,0,0,6,103.31,0,0,0,0.729766
6,allocate_send_arrival,0,S00,5,terminal,0,50940,66,0,0,6,1000,0,65.1435,0,0
6,allocate_send_arrival,0,S00,5,terminal,0,50944,19,0,0,6,1000,0,70.4527,0,0
6,allocate_send_arrival,0,S00,5,terminal,0,50942,105,0,0,6,1000,0,1.10333,0,0
6,allocate_send_arrival,0,S00,5,terminal,0,50941,110,0,0,6,1000,0,49.4975,0,0
6,allocate_send_arrival,0,S00,5,terminal,0,50946,44,0,0,6,1000,0,53.9855,0,0
6,allocate_send_arrival,0,S00,5,terminal,0,50945,70,0,0,6,1000,0,52.7092,0,0
6,allocate_send_arrival,0,S00,5,terminal,0,50947,12,0,0,6,1000,0,19.9093,0,0
6,allocate_send_arrival,0,S00,5,terminal,0,50943,23,0,0,6,1000,0,69.366,0,0
6,allocate_send_arrival,3,S27,0,switch,0,50940,66,0,0,6,119.129,0,9.5645,50.1556,0
6,enqueue_residual,3,S27,0,switch,0,50940,66,0,0,6,119.129,0,0,50.1556,0
6,allocate_send_arrival,3,S27,0,switch,0,50946,44,0,0,6,119.129,0,9.5645,50.1556,0
6,enqueue_residual,3,S27,0,switch,0,50946,44,0,0,6,119.129,0,0,49.8444,0
6,drop_shared_buffer_overflow,3,S27,0,switch,0,50946,44,0,0,6,119.129,0,0,0,0.311242
6,allocate_send_arrival,22,S07,3,switch,26,50946,44,0,0,6,124.406,0,59.5645,0,0
6,allocate_send_arrival,11,S03,0,switch,6,50943,23,0,0,6,132.338,0,53.2427,0,0
6,allocate_send_arrival,1,S01,0,switch,0,50947,12,0,0,6,159.728,0,19.9093,57.5547,0
6,enqueue_residual,1,S01,0,switch,0,50947,12,0,0,6,159.728,0,0,57.5547,0
6,allocate_send_arrival,1,S01,0,switch,0,50943,23,0,0,6,159.728,0,19.9093,41.3587,0
6,enqueue_residual,1,S01,0,switch,0,50943,23,0,0,6,159.728,0,0,41.3587,0
6,allocate_send_arrival,1,S01,0,switch,0,50944,19,0,0,6,159.728,0,19.9093,33.3333,0
6,enqueue_residual,1,S01,0,switch,0,50944,19,0,0,6,159.728,0,0,1.08667,0
6,drop_shared_buffer_overflow,1,S01,0,switch,0,50944,19,0,0,6,159.728,0,0,0,32.2467
6,allocate_send_arrival,6,S02,0,switch,1,50947,12,0,0,6,138.732,6.77337,53.2427,0,0
6,allocate_send_arrival,6,S02,0,switch,1,50943,23,0,0,6,138.732,6.77337,53.2427,0,0
6,allocate_send_arrival,55,S60,1,switch,37,50941,110,0,0,6,243.133,0,34.4367,0,0
6,allocate_send_arrival,35,S17,2,switch,37,50945,70,0,0,6,246.878,0,34.4367,0,0
6,allocate_send_arrival,52,S30,2,switch,54,50942,105,0,0,6,164.752,0,34.4367,0,0
6,allocate_send_arrival,33,S34,0,switch,26,50940,66,0,0,6,235.741,0,59.5645,0,0
6,allocate_send_arrival,54,S31,1,switch,37,50942,105,0,0,6,242.335,0,34.4367,0,0
7,allocate_send_buffered,37,S32,0,switch,0,50945,70,0,0,7,103.31,100,33.3333,0,0
7,allocate_send_buffered,37,S32,0,switch,0,50941,110,0,0,7,103.31,100,33.3333,0,0
7,allocate_send_buffered,37,S32,0,switch,0,50942,105,0,0,7,103.31,100,33.3333,7.27596e-15,0
7,allocate_send_buffered,1,S01,0,switch,0,50947,12,0,0,7,159.728,100,57.5547,0,0
