interval,event,terminal,terminal_name,attached_switch,peer_terminal,mbit
332,trace_offer,0,VLAN4012.0,0,1,3032.25
329,receive,1,VLAN4012.1,0,0,3032.25
332,send,0,VLAN4012.0,0,1,3032.25
333,trace_offer,0,VLAN4012.0,0,1,3032.25
330,receive,1,VLAN4012.1,0,0,3032.25
333,send,0,VLAN4012.0,0,1,3032.25
334,trace_offer,0,VLAN4012.0,0,1,3032.25
331,receive,1,VLAN4012.1,0,0,3032.25
331,receive,1,VLAN4012.1,0,0,3032.25
334,send,0,VLAN4012.0,0,1,3032.25
335,trace_offer,0,VLAN4012.0,0,1,3032.25
335,send,0,VLAN4012.0,0,1,3032.25
336,trace_offer,0,VLAN4012.0,0,1,3032.25
333,receive,1,VLAN4012.1,0,0,3032.25
333,receive,1,VLAN4012.1,0,0,3032.25
336,send,0,VLAN4012.0,0,1,3032.25
337,trace_offer,0,VLAN4012.0,0,1,3032.25
334,receive,1,VLAN4012.1,0,0,3032.25
337,send,0,VLAN4012.0,0,1,3032.25
338,trace_offer,0,VLAN4012.0,0,1,3032.25
338,send,0,VLAN4012.0,0,1,3032.25
339,trace_offer,0,VLAN4012.0,0,1,3032.25
336,receive,1,VLAN4012.1,0,0,3032.25
336,receive,1,VLAN4012.1,0,0,3032.25
339,send,0,VLAN4012.0,0,1,3032.25
340,trace_offer,0,VLAN4012.0,0,1,3040.84
337,receive,1,VLAN4012.1,0,0,3032.25
340,send,0,VLAN4012.0,0,1,3040.84
341,trace_offer,0,VLAN4012.0,0,1,3040.84
341,send,0,VLAN4012.0,0,1,3040.84
342,trace_offer,0,VLAN4012.0,0,1,3040.84
339,receive,1,VLAN4012.1,0,0,3040.84
342,send,0,VLAN4012.0,0,1,3040.84
343,trace_offer,0,VLAN4012.0,0,1,3040.84
340,receive,1,VLAN4012.1,0,0,3040.84
343,send,0,VLAN4012.0,0,1,3040.84
344,trace_offer,0,VLAN4012.0,0,1,3040.84
341,receive,1,VLAN4012.1,0,0,3040.84
344,send,0,VLAN4012.0,0,1,3040.84
345,trace_offer,0,VLAN4012.0,0,1,3040.84
342,receive,1,VLAN4012.1,0,0,3040.84
345,send,0,VLAN4012.0,0,1,3040.84
346,trace_offer,0,VLAN4012.0,0,1,3040.84
343,receive,1,VLAN4012.1,0,0,3040.84
346,send,0,VLAN4012.0,0,1,3040.84
347,trace_offer,0,VLAN4012.0,0,1,3040.84
344,receive,1,VLAN4012.1,0,0,3040.84
347,send,0,VLAN4012.0,0,1,3040.84
348,trace_offer,0,VLAN4012.0,0,1,3040.84
345,receive,1,VLAN4012.1,0,0,3040.84
348,send,0,VLAN4012.0,0,1,3040.84
349,trace_offer,0,VLAN4012.0,0,1,3040.84
346,receive,1,VLAN4012.1,0,0,3040.84
349,send,0,VLAN4012.0,0,1,3040.84
350,trace_offer,0,VLAN4012.0,0,1,3049.43
347,receive,1,VLAN4012.1,0,0,3040.84
347,receive,1,VLAN4012.1,0,0,3040.84
350,send,0,VLAN4012.0,0,1,3049.43
351,trace_offer,0,VLAN4012.0,0,1,3049.43
351,send,0,VLAN4012.0,0,1,3049.43
352,trace_offer,0,VLAN4012.0,0,1,3049.43
349,receive,1,VLAN4012.1,0,0,3049.43
349,receive,1,VLAN4012.1,0,0,3049.43
352,send,0,VLAN4012.0,0,1,3049.43
353,trace_offer,0,VLAN4012.0,0,1,3049.43
353,send,0,VLAN4012.0,0,1,3049.43
354,trace_offer,0,VLAN4012.0,0,1,3049.43
351,receive,1,VLAN4012.1,0,0,3049.43
354,send,0,VLAN4012.0,0,1,3049.43
355,trace_offer,0,VLAN4012.0,0,1,3049.43
352,receive,1,VLAN4012.1,0,0,3049.43
352,receive,1,VLAN4012.1,0,0,3049.43
355,send,0,VLAN4012.0,0,1,3049.43
356,trace_offer,0,VLAN4012.0,0,1,3049.43
353,receive,1,VLAN4012.1,0,0,3049.43
356,send,0,VLAN4012.0,0,1,3049.43
357,trace_offer,0,VLAN4012.0,0,1,3049.43
354,receive,1,VLAN4012.1,0,0,3049.43
357,send,0,VLAN4012.0,0,1,3049.43
358,trace_offer,0,VLAN4012.0,0,1,3049.43
358,send,0,VLAN4012.0,0,1,3049.43
359,trace_offer,0,VLAN4012.0,0,1,3049.43
356,receive,1,VLAN4012.1,0,0,3049.43
359,send,0,VLAN4012.0,0,1,3049.43
360,trace_offer,0,VLAN4012.0,0,1,3023.66
357,receive,1,VLAN4012.1,0,0,3049.43
357,receive,1,VLAN4012.1,0,0,3049.43
360,send,0,VLAN4012.0,0,1,3023.66
361,trace_offer,0,VLAN4012.0,0,1,3023.66
358,receive,1,VLAN4012.1,0,0,3023.66
361,send,0,VLAN4012.0,0,1,3023.66
362,trace_offer,0,VLAN4012.0,0,1,3023.66
362,send,0,VLAN4012.0,0,1,3023.66
363,trace_offer,0,VLAN4012.0,0,1,3023.66
360,receive,1,VLAN4012.1,0,0,3023.66
363,send,0,VLAN4012.0,0,1,3023.66
364,trace_offer,0,VLAN4012.0,0,1,3023.66
361,receive,1,VLAN4012.1,0,0,3023.66
364,send,0,VLAN4012.0,0,1,3023.66
365,trace_offer,0,VLAN4012.0,0,1,3023.66
362,receive,1,VLAN4012.1,0,0,3023.66
362,receive,1,VLAN4012.1,0,0,3023.66
365,send,0,VLAN4012.0,0,1,3023.66
366,trace_offer,0,VLAN4012.0,0,1,3023.66
363,receive,1,VLAN4012.1,0,0,3023.66
366,send,0,VLAN4012.0,0,1,3023.66
367,trace_offer,0,VLAN4012.0,0,1,3023.66
367,send,0,VLAN4012.0,0,1,3023.66
368,trace_offer,0,VLAN4012.0,0,1,3023.66
365,receive,1,VLAN4012.1,0,0,3023.66
368,send,0,VLAN4012.0,0,1,3023.66
369,trace_offer,0,VLAN4012.0,0,1,3023.66
366,receive,1,VLAN4012.1,0,0,3023.66
369,send,0,VLAN4012.0,0,1,3023.66
370,trace_offer,0,VLAN4012.0,0,1,3006.48
367,receive,1,VLAN4012.1,0,0,3023.66
367,receive,1,VLAN4012.1,0,0,3023.66
370,send,0,VLAN4012.0,0,1,3006.48
371,trace_offer,0,VLAN4012.0,0,1,3006.48
371,send,0,VLAN4012.0,0,1,3006.48
372,trace_offer,0,VLAN4012.0,0,1,3006.48
369,receive,1,VLAN4012.1,0,0,3006.48
372,send,0,VLAN4012.0,0,1,3006.48
373,trace_offer,0,VLAN4012.0,0,1,3006.48
370,receive,1,VLAN4012.1,0,0,3006.48
373,send,0,VLAN4012.0,0,1,3006.48
374,trace_offer,0,VLAN4012.0,0,1,3006.48
371,receive,1,VLAN4012.1,0,0,3006.48
374,send,0,VLAN4012.0,0,1,3006.48
375,trace_offer,0,VLAN4012.0,0,1,3006.48
372,receive,1,VLAN4012.1,0,0,3006.48
375,send,0,VLAN4012.0,0,1,3006.48
376,trace_offer,0,VLAN4012.0,0,1,3006.48
373,receive,1,VLAN4012.1,0,0,3006.48
376,send,0,VLAN4012.0,0,1,3006.48
377,trace_offer,0,VLAN4012.0,0,1,3006.48
