interval,event,switch,switch_name,port,target_type,target_index,flowlet_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
120,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,120,10,0,0,3.00648,0
116,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,116,10,0,3.00648,0,0
116,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,116,10,0,3.00648,0,0
121,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,121,10,0,0,3.04084,0
117,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,117,10,0,3.04084,0,0
122,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,122,10,0,0,3.04084,0
118,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,118,10,0,3.04084,0,0
123,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,123,10,0,0,3.04084,0
124,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,124,10,0,0,3.04084,0
120,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,120,10,0,3.04084,0,0
120,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,120,10,0,3.04084,0,0
125,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,125,10,0,0,3.04084,0
121,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,121,10,0,3.04084,0,0
126,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,126,10,0,0,3.04084,0
122,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,122,10,0,3.04084,0,0
127,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,127,10,0,0,3.04084,0
124,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,124,10,0,3.04084,0,0
128,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,128,10,0,0,3.04084,0
129,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,129,10,0,0,3.04084,0
