interval,flow_id,source_terminal,destination_terminal,offered_gbit
282,5001,0,1,2.826088481
283,5001,0,1,2.826088481
284,5001,0,1,2.826088481
285,5001,0,1,2.826088481
286,5001,0,1,2.826088481
287,5001,0,1,2.826088481
288,5001,0,1,2.826088481
289,5001,0,1,2.826088481
290,5001,0,1,2.834678415
291,5001,0,1,2.834678415
292,5001,0,1,2.834678415
293,5001,0,1,2.834678415
294,5001,0,1,2.834678415
295,5001,0,1,2.834678415
296,5001,0,1,2.834678415
297,5001,0,1,2.834678415
298,5001,0,1,2.834678415
299,5001,0,1,2.834678415
300,5001,0,1,2.843268350
301,5001,0,1,2.843268350
302,5001,0,1,2.843268350
303,5001,0,1,2.843268350
304,5001,0,1,2.843268350
305,5001,0,1,2.843268350
306,5001,0,1,2.843268350
307,5001,0,1,2.843268350
308,5001,0,1,2.843268350
309,5001,0,1,2.843268350
310,5001,0,1,2.774548873
311,5001,0,1,2.774548873
312,5001,0,1,2.774548873
313,5001,0,1,2.774548873
314,5001,0,1,2.774548873
315,5001,0,1,2.774548873
316,5001,0,1,2.774548873
317,5001,0,1,2.774548873
318,5001,0,1,2.774548873
319,5001,0,1,2.774548873
320,5001,0,1,2.808908612
321,5001,0,1,2.808908612
322,5001,0,1,2.808908612
323,5001,0,1,2.808908612
324,5001,0,1,2.808908612
325,5001,0,1,2.808908612
326,5001,0,1,2.808908612
327,5001,0,1,2.808908612
328,5001,0,1,2.808908612
329,5001,0,1,2.808908612
330,5001,0,1,2.808908612
331,5001,0,1,2.808908612
332,5001,0,1,2.808908612
333,5001,0,1,2.808908612
334,5001,0,1,2.808908612
335,5001,0,1,2.808908612
336,5001,0,1,2.808908612
337,5001,0,1,2.808908612
338,5001,0,1,2.808908612
339,5001,0,1,2.808908612
340,5001,0,1,2.834678415
341,5001,0,1,2.834678415
342,5001,0,1,2.834678415
343,5001,0,1,2.834678415
344,5001,0,1,2.834678415
345,5001,0,1,2.834678415
346,5001,0,1,2.834678415
347,5001,0,1,2.834678415
348,5001,0,1,2.834678415
349,5001,0,1,2.834678415
350,5001,0,1,2.800318677
351,5001,0,1,2.800318677
352,5001,0,1,2.800318677
353,5001,0,1,2.800318677
354,5001,0,1,2.800318677
355,5001,0,1,2.800318677
356,5001,0,1,2.800318677
357,5001,0,1,2.800318677
358,5001,0,1,2.800318677
359,5001,0,1,2.800318677
360,5001,0,1,2.808908612
361,5001,0,1,2.808908612
362,5001,0,1,2.808908612
363,5001,0,1,2.808908612
364,5001,0,1,2.808908612
365,5001,0,1,2.808908612
366,5001,0,1,2.808908612
367,5001,0,1,2.808908612
368,5001,0,1,2.808908612
369,5001,0,1,2.808908612
370,5001,0,1,2.808908612
371,5001,0,1,2.808908612
372,5001,0,1,2.808908612
373,5001,0,1,2.808908612
374,5001,0,1,2.808908612
375,5001,0,1,2.808908612
376,5001,0,1,2.808908612
377,5001,0,1,2.808908612
378,5001,0,1,2.808908612
379,5001,0,1,2.808908612
380,5001,0,1,2.808908612
381,5001,0,1,2.808908612
382,5001,0,1,2.808908612
383,5001,0,1,2.808908612
384,5001,0,1,2.808908612
385,5001,0,1,2.808908612
